UID,UID_R,Claim_No,LossDate,REPORTING_DT,As_At_Date,Payment_Type,Claim_OS,OS_S&S,Claim_OS (Net of S&S),At Fault/ Not At Fault,Location_Of_Accident,Claim_Type,Sub_Claim_Type,At Fault/ Not At Fault Mapping
01/20/2023/001089-2103540,01/20/2023/001089-10682945,CLM/01/20/2024/01841,11-10-2024,27-10-2024,31-12-2024,Payment,4584,0,4584,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001088-2105933,01/20/2023/001088-10678968,CLM/01/20/2024/01918,12-08-2024,19-11-2024,31-12-2024,Payment,701,0,701,25,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001089-2106031,01/20/2023/001089-10683079,CLM/01/20/2024/01925,30-10-2024,20-11-2024,31-12-2024,Payment,22300,0,22300,100,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2024/001025-2108297,01/20/2024/001025-10820733,CLM/01/20/2024/02023,10-11-2024,07-12-2024,31-12-2024,Payment,500,0,500,100,,TP,Third Party Property Damage,Yes
01/20/2024/001006-2108788,01/20/2024/001006-10712553,CLM/01/20/2024/02044,27-10-2024,10-12-2024,31-12-2024,Payment,7876.75,0,7876.75,100,KHOBAR,TP,Third Party Property Damage,Yes
01/61/2016/000070-1782935,01/61/2016/000070-8130734,CLM/01/61/2016/02371,01-10-2016,01-10-2016,31-12-2024,Payment,-3900,0,-3900,100,JEDDAH,CP,Third Party Death or Bodily Injury,Yes
01/61/2016/000070-1782935,01/61/2016/000070-8130734,CLM/01/61/2016/02371,01-10-2016,01-10-2016,31-12-2024,Payment,3900,0,3900,100,JEDDAH,CP,Third Party Property Damage,Yes
01/61/2016/000065-1785156,01/61/2016/000065-8104914,CLM/01/61/2016/02663,24-10-2016,24-10-2016,31-12-2024,Payment,300000,0,300000,100,JEDDAH,CP,Third Party Death or Bodily Injury,Yes
01/61/2018/000021-1874419,01/61/2018/000021-8794374,CLM/01/61/2018/02347,15-11-2018,16-11-2018,31-12-2024,Payment,-150,0,-150,100,RIYADH,CP,Fees - Najm,Yes
01/61/2018/000021-1874419,01/61/2018/000021-8794374,CLM/01/61/2018/02347,15-11-2018,16-11-2018,31-12-2024,Payment,150,0,150,100,RIYADH,CP,NAJM  ( DAMAGE ASSESSMENT FEES),Yes
01/61/2018/000021-1876595,01/61/2018/000021-8791204,CLM/01/61/2018/02521,13-11-2018,14-11-2018,31-12-2024,Payment,-150,0,-150,50,JEDDAH,CP,Fees - Najm,Yes
01/61/2018/000021-1876595,01/61/2018/000021-8791204,CLM/01/61/2018/02521,13-11-2018,14-11-2018,31-12-2024,Payment,150,0,150,50,JEDDAH,CP,NAJM  ( DAMAGE ASSESSMENT FEES),Yes
01/61/2018/000021-1876652,01/61/2018/000021-8795739,CLM/01/61/2018/02539,15-11-2018,16-11-2018,31-12-2024,Payment,-150,0,-150,100,JEDDAH,CP,Fees - Najm,Yes
01/61/2018/000021-1876652,01/61/2018/000021-8795739,CLM/01/61/2018/02539,15-11-2018,16-11-2018,31-12-2024,Payment,150,0,150,100,JEDDAH,CP,NAJM  ( DAMAGE ASSESSMENT FEES),Yes
01/61/2019/000050-1915652,01/61/2019/000050-9219912,CLM/01/61/2020/00149,19-01-2020,20-01-2020,31-12-2024,Payment,7980,0,7980,100,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000041-1950544,01/61/2021/000041-9599130,CLM/01/61/2021/00458,13-07-2021,14-07-2021,31-12-2024,Payment,20000,0,20000,100,JEDDAH,CP,Damage - Total Loss  to Insured Vehicle,Yes
01/61/2021/000041-1950544,01/61/2021/000041-9599130,CLM/01/61/2021/00458,13-07-2021,14-07-2021,31-12-2024,Payment,-2000,0,-2000,100,JEDDAH,CP,Depreciation - Total Loss,Yes
01/61/2021/000041-1950544,01/61/2021/000041-9599130,CLM/01/61/2021/00458,13-07-2021,14-07-2021,31-12-2024,Payment,-750,0,-750,100,JEDDAH,CP,Excess/Deductible,Yes
01/61/2021/000052-1963430,01/61/2021/000052-9615616,CLM/01/61/2022/00036,14-11-2021,16-11-2021,31-12-2024,Payment,9500,0,9500,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000052-1964686,01/61/2021/000052-9615496,CLM/01/61/2022/00086,10-01-2022,17-01-2022,31-12-2024,Payment,10632,0,10632,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000052-1965342,01/61/2021/000052-9614873,CLM/01/61/2022/00116,18-01-2022,23-01-2022,31-12-2024,Payment,31000,0,31000,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000052-1965348,01/61/2021/000052-9614621,CLM/01/61/2022/00118,10-01-2022,12-01-2022,31-12-2024,Payment,6999,0,6999,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000052-1965820,01/61/2021/000052-9614545,CLM/01/61/2022/00138,13-12-2021,15-12-2021,31-12-2024,Payment,6005,0,6005,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000080-1970383,01/61/2021/000080-9865991,CLM/01/61/2022/00301,14-02-2022,24-02-2022,31-12-2024,Payment,6007,0,6007,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2021/000044-1971302,01/61/2021/000044-9602151,CLM/01/61/2022/00331,05-12-2021,08-12-2021,31-12-2024,Payment,18000,0,18000,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2021/000052-1975369,01/61/2021/000052-9615163,CLM/01/61/2022/00503,18-01-2022,18-01-2022,31-12-2024,Payment,10001,0,10001,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000013-1978186,01/61/2022/000013-10002470,CLM/01/61/2022/00589,03-04-2022,04-04-2022,31-12-2024,Payment,30001,0,30001,100,RIYADH,CP,Damage - Total Loss  to Insured Vehicle,Yes
01/61/2022/000058-1994480,01/61/2022/000058-10149920,CLM/01/61/2022/01249,03-05-2022,20-06-2022,31-12-2024,Payment,120001,0,120001,0,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2022/000043-1999522,01/61/2022/000043-10099760,CLM/01/61/2022/01483,07-07-2022,18-07-2022,31-12-2024,Payment,50001,0,50001,100,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000051-2011684,01/61/2022/000051-10116155,CLM/01/61/2022/01923,09-04-2022,16-09-2022,31-12-2024,Payment,900001,0,900001,100,RIYADH,CP,Third Party Death or Bodily Injury,Yes
01/61/2022/000071-2018946,01/61/2022/000071-10189368,CLM/01/61/2022/02329,11-10-2022,23-10-2022,31-12-2024,Payment,50002,0,50002,100,RIYADH,CP,Third Party Death or Bodily Injury,Yes
01/61/2022/000038-2020315,01/61/2022/000038-10014584,CLM/01/61/2022/02416,30-10-2022,30-10-2022,31-12-2024,Payment,10001,0,10001,75,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000066-2022959,01/61/2022/000066-10157648,CLM/01/61/2022/02613,31-08-2022,31-08-2022,31-12-2024,Payment,12000,0,12000,0,JEDDAH,CP,Damage - Total Loss  to Insured Vehicle,No
01/61/2022/000039-2025574,01/61/2022/000039-10050702,CLM/01/61/2022/02843,24-11-2022,28-11-2022,31-12-2024,Payment,15000,0,15000,0,RIYADH,CP,Damage - Total Loss  to Insured Vehicle,No
01/61/2022/000072-2025769,01/61/2022/000072-10198376,CLM/01/61/2022/02861,28-11-2022,29-11-2022,31-12-2024,Payment,28345,0,28345,0,JEDDAH,CP,Damage - Total Loss  to Insured Vehicle,No
01/61/2022/000051-2027601,01/61/2022/000051-10114789,CLM/01/61/2022/02994,03-12-2022,13-12-2022,31-12-2024,Payment,1175005,0,1175005,100,RIYADH,CP,Third Party Death or Bodily Injury,Yes
01/61/2022/000051-2027601,01/61/2022/000051-10114789,CLM/01/61/2022/02994,03-12-2022,13-12-2022,31-12-2024,Payment,26095,0,26095,100,RIYADH,CP,Third Party Property Damage,Yes
01/61/2022/000039-2032181,01/61/2022/000039-10050756,CLM/01/61/2023/00129,07-01-2023,09-01-2023,31-12-2024,Payment,6500,0,6500,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000039-2032181,01/61/2022/000039-10050756,CLM/01/61/2023/00129,07-01-2023,09-01-2023,31-12-2024,Payment,19208.7,0,19208.7,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000039-2032181,01/61/2022/000039-10050756,CLM/01/61/2023/00129,07-01-2023,09-01-2023,31-12-2024,Payment,3856.3,0,3856.3,100,JEDDAH,CP,VAT INPUT - MOTOR,Yes
01/61/2022/000038-2033576,01/61/2022/000038-10009205,CLM/01/61/2023/00216,18-01-2023,22-01-2023,31-12-2024,Payment,800010,0,800010,75,KHOBAR,CP,Third Party Death or Bodily Injury,Yes
01/61/2023/000026-2033703,01/61/2023/000026-10338127,CLM/01/61/2023/00239,17-01-2023,23-01-2023,31-12-2024,Payment,601,0,601,100,KHOBAR,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000006-2033908,01/61/2023/000006-10327419,CLM/01/61/2023/00252,11-01-2023,24-01-2023,31-12-2024,Payment,23000,0,23000,100,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2022/000026-2034292,01/61/2022/000026-9932076,CLM/01/61/2023/00264,26-11-2022,04-01-2023,31-12-2024,Payment,70000,0,70000,0,RIYADH,CP,Damage - Total Loss  to Insured Vehicle,No
01/61/2022/000058-2034561,01/61/2022/000058-10334713,CLM/01/61/2023/00285,21-01-2023,28-01-2023,31-12-2024,Payment,601,0,601,100,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000079-2034670,01/61/2022/000079-10309812,CLM/01/61/2023/00300,23-01-2023,24-01-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000079-2034741,01/61/2022/000079-10228698,CLM/01/61/2023/00306,14-01-2023,15-01-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2023/000028-2037031,01/61/2023/000028-10337813,CLM/01/61/2023/00477,30-01-2023,31-01-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2022/000038-2037184,01/61/2022/000038-10016029,CLM/01/61/2023/00492,12-02-2023,14-02-2023,31-12-2024,Payment,601,0,601,100,KHOBAR,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000038-2037768,01/61/2022/000038-10012421,CLM/01/61/2023/00538,16-02-2023,19-02-2023,31-12-2024,Payment,601,0,601,100,KHOBAR,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000072-2038016,01/61/2022/000072-10198150,CLM/01/61/2023/00564,19-02-2023,20-02-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2022/000079-2038244,01/61/2022/000079-10309820,CLM/01/61/2023/00588,05-02-2023,06-02-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000092-2041699,01/61/2022/000092-10286181,CLM/01/61/2023/00840,14-02-2023,23-03-2023,31-12-2024,Payment,501,0,501,0,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2022/000059-2041896,01/61/2022/000059-10151327,CLM/01/61/2023/00851,23-10-2022,20-03-2023,31-12-2024,Payment,501,0,501,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2023/000003-2042470,01/61/2023/000003-10326314,CLM/01/61/2023/00920,27-03-2023,28-03-2023,31-12-2024,Payment,601,0,601,25,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2023/000044-2042721,01/61/2023/000044-10391739,CLM/01/61/2023/00937,27-03-2023,02-04-2023,31-12-2024,Payment,501,0,501,50,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2022/000071-2042849,01/61/2022/000071-10189656,CLM/01/61/2023/00949,27-03-2023,30-03-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000044-2044784,01/61/2023/000044-10391819,CLM/01/61/2023/01121,16-04-2023,17-04-2023,31-12-2024,Payment,50001,0,50001,100,JEDDAH,CP,Third Party Death or Bodily Injury,Yes
01/61/2022/000058-2044829,01/61/2022/000058-10334290,CLM/01/61/2023/01140,05-04-2023,24-04-2023,31-12-2024,Payment,95435.49,0,95435.49,100,JEDDAH,CP,Damage - Total Loss  to Insured Vehicle,Yes
01/61/2022/000058-2045716,01/61/2022/000058-10342460,CLM/01/61/2023/01232,20-04-2023,21-04-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000079-2045728,01/61/2022/000079-10235461,CLM/01/61/2023/01236,18-04-2023,19-04-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,No
01/61/2023/000044-2045926,01/61/2023/000044-10384253,CLM/01/61/2023/01257,07-04-2023,03-05-2023,31-12-2024,Payment,2500,0,2500,100,JEDDAH,CP,Expenses - Towing of Insured Vehicle,Yes
01/61/2023/000044-2045928,01/61/2023/000044-10384823,CLM/01/61/2023/01259,30-04-2023,01-05-2023,31-12-2024,Payment,15000,0,15000,100,JEDDAH,CP,Third Party Death or Bodily Injury,Yes
01/61/2023/000051-2046369,01/61/2023/000051-10409964,CLM/01/61/2023/01298,01-05-2023,07-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2023/000044-2046389,01/61/2023/000044-10392193,CLM/01/61/2023/01305,06-05-2023,07-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000051-2046418,01/61/2022/000051-10172137,CLM/01/61/2023/01314,30-03-2023,08-05-2023,31-12-2024,Payment,601,0,601,100,KHOBAR,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000079-2046894,01/61/2022/000079-10235458,CLM/01/61/2023/01372,08-05-2023,11-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000093-2046907,01/61/2022/000093-10421713,CLM/01/61/2023/01377,02-03-2023,11-05-2023,31-12-2024,Payment,300,0,300,25,JEDDAH,CP,VAT INPUT - MOTOR,Yes
01/61/2022/000038-2046952,01/61/2022/000038-10008095,CLM/01/61/2023/01393,05-08-2022,11-05-2023,31-12-2024,Payment,200000,0,200000,100,JEDDAH,CP,Third Party Property Damage,Yes
01/61/2022/000058-2047177,01/61/2022/000058-10334844,CLM/01/61/2023/01408,16-04-2023,14-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2022/000058-2047619,01/61/2022/000058-10334379,CLM/01/61/2023/01486,15-03-2023,17-03-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000051-2047779,01/61/2023/000051-10410194,CLM/01/61/2023/01511,10-05-2023,12-05-2023,31-12-2024,Payment,601,0,601,50,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000071-2047785,01/61/2022/000071-10189450,CLM/01/61/2023/01512,16-05-2023,18-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000044-2048171,01/61/2023/000044-10384460,CLM/01/61/2023/01542,15-05-2023,22-05-2023,31-12-2024,Payment,2222,0,2222,100,JEDDAH,CP,Third Party Property Damage,Yes
01/61/2023/000056-2048173,01/61/2023/000056-10441549,CLM/01/61/2023/01543,16-05-2023,18-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2022/000079-2048189,01/61/2022/000079-10323596,CLM/01/61/2023/01550,16-04-2023,22-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000051-2048392,01/61/2023/000051-10409933,CLM/01/61/2023/01594,14-05-2023,16-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000056-2048396,01/61/2023/000056-10442478,CLM/01/61/2023/01595,19-05-2023,23-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000001-2048409,01/61/2023/000001-10326117,CLM/01/61/2023/01601,15-05-2023,23-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000044-2048412,01/61/2023/000044-10388114,CLM/01/61/2023/01603,02-03-2023,23-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000044-2048602,01/61/2023/000044-10389031,CLM/01/61/2023/01629,27-04-2023,24-05-2023,31-12-2024,Payment,2222,0,2222,75,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2023/000044-2048611,01/61/2023/000044-10389256,CLM/01/61/2023/01630,23-03-2023,24-05-2023,31-12-2024,Payment,2222,0,2222,100,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2022/000079-2048617,01/61/2022/000079-10235457,CLM/01/61/2023/01632,17-05-2023,19-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2022/000079-2048621,01/61/2022/000079-10354663,CLM/01/61/2023/01633,28-03-2023,30-03-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000044-2048701,01/61/2023/000044-10389778,CLM/01/61/2023/01637,21-05-2023,25-05-2023,31-12-2024,Payment,601,0,601,0,KHOBAR,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000001-2048737,01/61/2023/000001-10326126,CLM/01/61/2023/01646,17-05-2023,19-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000049-2048988,01/61/2023/000049-10407960,CLM/01/61/2023/01661,18-04-2023,28-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2021/000052-2049144,01/61/2021/000052-9614362,CLM/01/61/2023/01680,25-06-2022,29-05-2023,31-12-2024,Payment,2222,0,2222,100,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2023/000002-2049577,01/61/2023/000002-10326488,CLM/01/61/2023/01747,08-05-2023,10-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000001-2049580,01/61/2023/000001-10326195,CLM/01/61/2023/01748,22-05-2023,24-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000027-2049585,01/61/2023/000027-10341510,CLM/01/61/2023/01750,24-05-2023,26-05-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000001-2049590,01/61/2023/000001-10326185,CLM/01/61/2023/01753,22-05-2023,24-05-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000001-2049590,01/61/2023/000001-10326185,CLM/01/61/2023/01753,22-05-2023,24-05-2023,31-12-2024,Payment,-1250,0,-1250,100,JEDDAH,CP,Excess/Deductible,Yes
01/61/2023/000044-2049598,01/61/2023/000044-10388328,CLM/01/61/2023/01755,30-05-2023,01-06-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2023/000044-2049602,01/61/2023/000044-10388119,CLM/01/61/2023/01757,30-05-2023,01-06-2023,31-12-2024,Payment,601,0,601,100,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000038-2049613,01/61/2022/000038-10013101,CLM/01/61/2023/01760,04-12-2022,01-06-2023,31-12-2024,Payment,2222,0,2222,100,KHOBAR,CP,Third Party Property Damage,Yes
01/61/2022/000072-2049614,01/61/2022/000072-10198307,CLM/01/61/2023/01761,26-05-2023,01-06-2023,31-12-2024,Payment,601,0,601,0,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,No
01/61/2023/000044-2049809,01/61/2023/000044-10391727,CLM/01/61/2023/01773,13-05-2023,14-05-2023,31-12-2024,Payment,601,0,601,75,JEDDAH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
01/61/2022/000093-2049829,01/61/2022/000093-10287567,CLM/01/61/2023/01778,23-05-2023,04-06-2023,31-12-2024,Payment,601,0,601,100,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Spare Parts,Yes
01/61/2022/000088-2049933,01/61/2022/000088-10250082,CLM/01/61/2023/01792,09-03-2023,01-06-2023,31-12-2024,Payment,29234,0,29234,100,RIYADH,CP,Damage - Partial Loss to Insured Vehicle Labor Charges,Yes
